Award,Year,Winning,Name,Film
Directing,1931/1932,won,Bad Girl ,Frank Borzage
Directing,1931/1932,nominated,The Champ ,King Vidor
Directing,1931/1932,nominated,Shanghai Express ,Josef Von Sternberg
Outstanding Production,1931/1932,nominated,Arrowsmith ,Samuel Goldwyn Productions
Outstanding Production,1931/1932,nominated,Bad Girl ,Fox
Outstanding Production,1931/1932,nominated,The Champ ,Metro-Goldwyn-Mayer
Outstanding Production,1931/1932,nominated,Five Star Final ,First National
Outstanding Production,1931/1932,won,Grand Hotel ,Metro-Goldwyn-Mayer
Outstanding Production,1931/1932,nominated,One Hour with You ,Paramount Publix
Outstanding Production,1931/1932,nominated,Shanghai Express ,Paramount Publix
Outstanding Production,1931/1932,nominated,The Smiling Lieutenant ,Paramount Publix
Short Subject (Cartoon),1931/1932,won,Flowers and Trees ,"Walt Disney, Producer"
Short Subject (Cartoon),1931/1932,nominated,It's Got Me Again ,"Leon Schlesinger, Producer"
Short Subject (Cartoon),1931/1932,nominated,Mickey's Orphans ,"Walt Disney, Producer"
Short Subject (Comedy),1931/1932,nominated,The Loud Mouth ,"Mack Sennett, Producer"
Short Subject (Comedy),1931/1932,won,The Music Box ,"Hal Roach, Producer"
Short Subject (Comedy),1931/1932,nominated,Scratch-As-Catch-Can ,RKO Radio
Short Subject (Comedy),1931/1932,nominated,Stout Hearts and Willing Hands ,RKO Radio
Short Subject (Novelty),1931/1932,nominated,Screen Souvenirs ,Paramount Publix
Short Subject (Novelty),1931/1932,nominated,Swing High ,Metro-Goldwyn-Mayer
Short Subject (Novelty),1931/1932,won,Wrestling Swordfish ,"Mack Sennett, Producer"
Sound Recording,1931/1932,nominated,Metro-Goldwyn-Mayer Studio Sound Department,
Sound Recording,1931/1932,won,Paramount Publix Studio Sound Department,
Sound Recording,1931/1932,nominated,RKO Radio Studio Sound Department,
Sound Recording,1931/1932,nominated,Warner Brothers-First National Studio Sound Department,
Writing (Adaptation),1931/1932,nominated,Arrowsmith ,Sidney Howard
Writing (Adaptation),1931/1932,won,Bad Girl ,Edwin Burke
Writing (Adaptation),1931/1932,nominated,Dr. Jekyll and Mr. Hyde ,"Percy Heath, Samuel Hoffenstein"
Writing (Original Story),1931/1932,won,The Champ ,Frances Marion
Writing (Original Story),1931/1932,nominated,Lady and Gent ,"Grover Jones, William Slavens McNutt"
Writing (Original Story),1931/1932,nominated,The Star Witness ,Lucien Hubbard
Writing (Original Story),1931/1932,nominated,What Price Hollywood? ,"Adela Rogers St. Johns, Jane Murfin"
Special Award,1931/1932,won,Walt Disney,“Mickey Mouse”
Actor,1932/1933,nominated,Leslie Howard,Berkeley Square
Actor,1932/1933,won,Charles Laughton,The Private Life of Henry VIII
Actor,1932/1933,nominated,Paul Muni,I Am a Fugitive from a Chain Gang
Actress,1932/1933,won,Katharine Hepburn,Morning Glory
Actress,1932/1933,nominated,May Robson,Lady for a Day
Actress,1932/1933,nominated,Diana Wynyard,Cavalcade
