Award,Year,Winning,Name,Film
Music (Original Song Score and Its Adaptation or Adaptation Score),1977,nominated,Pete's Dragon ,Song Score by Al Kasha and Joel Hirschhorn; Adaptation Score by Irwin Kostal
Music (Original Song Score and Its Adaptation or Adaptation Score),1977,nominated,The Slipper and the Rose--The Story of Cinderella ,Song Score by Richard M. Sherman and Robert B. Sherman; Adaptation Score by Angela Morley
Music (Original Song),1977,nominated,"""Candle On The Water"" from Pete's Dragon",Music and Lyrics by Al Kasha and Joel Hirschhorn
Music (Original Song),1977,nominated,"""Nobody Does It Better"" from The Spy Who Loved Me",Music by Marvin Hamlisch; Lyrics by Carole Bayer Sager
Music (Original Song),1977,nominated,"""The Slipper And The Rose Waltz (He Danced With Me/She Danced With Me)"" from The Slipper and the Rose--The Story of Cinderella",Music and Lyrics by Richard M. Sherman and Robert B. Sherman
Music (Original Song),1977,nominated,"""Someone's Waiting For You"" from The Rescuers",Music by Sammy Fain; Lyrics by Carol Connors and Ayn Robbins
Music (Original Song),1977,won,"""You Light Up My Life"" from You Light Up My Life",Music and Lyrics by Joseph Brooks
Best Picture,1977,won,Annie Hall ,"Charles H. Joffe, Producer"
Best Picture,1977,nominated,The Goodbye Girl ,"Ray Stark, Producer"
Best Picture,1977,nominated,Julia ,"Richard Roth, Producer"
Best Picture,1977,nominated,Star Wars ,"Gary Kurtz, Producer"
Best Picture,1977,nominated,The Turning Point ,"Herbert Ross and Arthur Laurents, Producers"
Short Film (Animated),1977,nominated,The Bead Game ,"Ishu Patel, Producer"
Short Film (Animated),1977,nominated,The Doonesbury Special ,"John Hubley, Faith Hubley and Garry Trudeau, Producers"
Short Film (Animated),1977,nominated,Jimmy the C ,"James Picker, Robert Grossman and Craig Whitaker, Producers"
Short Film (Animated),1977,won,The Sand Castle ,"Co Hoedeman, Producer"
Short Film (Live Action),1977,nominated,The Absent-Minded Waiter ,"William E. McEuen, Producer"
Short Film (Live Action),1977,nominated,Floating Free ,"Jerry Butts, Producer"
Short Film (Live Action),1977,won,I'll Find a Way ,"Beverly Shaffer and Yuki Yoshida, Producers"
Short Film (Live Action),1977,nominated,Notes on the Popular Arts ,"Saul Bass, Producer"
Short Film (Live Action),1977,nominated,Spaceborne ,"Philip Dauber, Producer"
Sound,1977,nominated,Close Encounters of the Third Kind ,"Robert Knudson, Robert J. Glass, Don MacDougall, Gene S. Cantamessa"
Sound,1977,nominated,The Deep ,"Walter Goss, Dick Alexander, Tom Beckert, Robin Gregory"
Sound,1977,nominated,Sorcerer ,"Robert Knudson, Robert J. Glass, Richard Tyler, Jean-Louis Ducarme"
Sound,1977,won,Star Wars ,"Don MacDougall, Ray West, Bob Minkler, Derek Ball"
Sound,1977,nominated,The Turning Point ,"Theodore Soderberg, Paul Wells, Douglas O. Williams, Jerry Jost"
Visual Effects,1977,nominated,Close Encounters of the Third Kind ,"Roy Arbogast, Douglas Trumbull, Matthew Yuricich, Gregory Jein, Richard Yuricich"
Visual Effects,1977,won,Star Wars ,"John Stears, John Dykstra, Richard Edlund, Grant McCune, Robert Blalack"
"Writing (Screenplay, Based on Material from Another Medium)",1977,nominated,Equus ,Peter Shaffer
"Writing (Screenplay, Based on Material from Another Medium)",1977,nominated,I Never Promised You a Rose Garden ,"Gavin Lambert, Lewis John Carlino"
"Writing (Screenplay, Based on Material from Another Medium)",1977,won,Julia ,Alvin Sargent
"Writing (Screenplay, Based on Material from Another Medium)",1977,nominated,"Oh, God! ",Larry Gelbart
"Writing (Screenplay, Based on Material from Another Medium)",1977,nominated,That Obscure Object of Desire ,"Luis Buñuel, Jean-Claude Carrière"
"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",1977,won,Annie Hall ,"Woody Allen, Marshall Brickman"
"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",1977,nominated,The Goodbye Girl ,Neil Simon
"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",1977,nominated,The Late Show ,Robert Benton
"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",1977,nominated,Star Wars ,George Lucas
"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",1977,nominated,The Turning Point ,Arthur Laurents
Special Achievement Award,1977,won,"Benjamin Burtt, Jr.",Star Wars
Special Achievement Award (Sound Effects Editing),1977,won,Close Encounters of the Third Kind ,Frank E. Warner
Jean Hersholt Humanitarian Award,1977,won,Charlton Heston,
Honorary Award,1977,won,Margaret Booth,
Irving G. Thalberg Memorial Award,1977,won,Walter Mirisch,
Medal of Commendation,1977,won,Gordon E. Sawyer,
Medal of Commendation,1977,won,Sidney Paul Solow,
Actor in a Leading Role,1978,nominated,Warren Beatty,Heaven Can Wait
Actor in a Leading Role,1978,nominated,Gary Busey,The Buddy Holly Story
Actor in a Leading Role,1978,nominated,Robert De Niro,The Deer Hunter
Actor in a Leading Role,1978,nominated,Laurence Olivier,The Boys from Brazil
Actor in a Leading Role,1978,won,Jon Voight,Coming Home
Actor in a Supporting Role,1978,nominated,Bruce Dern,Coming Home
Actor in a Supporting Role,1978,nominated,Richard Farnsworth,Comes a Horseman
Actor in a Supporting Role,1978,nominated,John Hurt,Midnight Express
Actor in a Supporting Role,1978,won,Christopher Walken,The Deer Hunter
Actor in a Supporting Role,1978,nominated,Jack Warden,Heaven Can Wait
Actress in a Leading Role,1978,nominated,Ingrid Bergman,Autumn Sonata
Actress in a Leading Role,1978,nominated,Ellen Burstyn,"Same Time, Next Year"
Actress in a Leading Role,1978,nominated,Jill Clayburgh,An Unmarried Woman
Actress in a Leading Role,1978,won,Jane Fonda,Coming Home
Actress in a Leading Role,1978,nominated,Geraldine Page,Interiors
Actress in a Supporting Role,1978,nominated,Dyan Cannon,Heaven Can Wait
Actress in a Supporting Role,1978,nominated,Penelope Milford,Coming Home
Actress in a Supporting Role,1978,won,Maggie Smith,California Suite
Actress in a Supporting Role,1978,nominated,Maureen Stapleton,Interiors
Actress in a Supporting Role,1978,nominated,Meryl Streep,The Deer Hunter
Art Direction,1978,nominated,The Brink's Job ,"Art Direction: Dean Tavoularis, Angelo Graham; Set Decoration: George R. Nelson, Bruce Kay"
Art Direction,1978,nominated,California Suite ,Art Direction: Albert Brenner; Set Decoration: Marvin March
Art Direction,1978,won,Heaven Can Wait ,"Art Direction: Paul Sylbert, Edwin O'Donovan; Set Decoration: George Gaines"
Art Direction,1978,nominated,Interiors ,Art Direction: Mel Bourne; Set Decoration: Daniel Robert
Art Direction,1978,nominated,The Wiz ,"Art Direction: Tony Walton, Philip Rosenberg; Set Decoration: Edward Stewart, Robert Drumheller"
Cinematography,1978,won,Days of Heaven ,Nestor Almendros
Cinematography,1978,nominated,The Deer Hunter ,Vilmos Zsigmond
Cinematography,1978,nominated,Heaven Can Wait ,William A. Fraker
Cinematography,1978,nominated,"Same Time, Next Year ",Robert Surtees
Cinematography,1978,nominated,The Wiz ,Oswald Morris
Costume Design,1978,nominated,Caravans ,Renie Conley
Costume Design,1978,nominated,Days of Heaven ,Patricia Norris
Costume Design,1978,won,Death on the Nile ,Anthony Powell
Costume Design,1978,nominated,The Swarm ,Paul Zastupnevich
Costume Design,1978,nominated,The Wiz ,Tony Walton
Directing,1978,nominated,Coming Home ,Hal Ashby
Directing,1978,won,The Deer Hunter ,Michael Cimino
Directing,1978,nominated,Heaven Can Wait ,"Warren Beatty, Buck Henry"
Directing,1978,nominated,Interiors ,Woody Allen
Directing,1978,nominated,Midnight Express ,Alan Parker
Documentary (Feature),1978,nominated,The Lovers' Wind ,"Albert Lamorisse, Producer"
Documentary (Feature),1978,nominated,Mysterious Castles of Clay ,"Alan Root, Producer"
Documentary (Feature),1978,nominated,Raoni ,"Jean-Pierre Dutilleux, Barry Williams and Michel Gast, Producers"
Documentary (Feature),1978,won,Scared Straight! ,"Arnold Shapiro, Producer"
Documentary (Feature),1978,nominated,With Babies and Banners: Story of the Women's Emergency Brigade ,"Anne Bohlen, Lyn Goldfarb and Lorraine Gray, Producers"
Documentary (Short Subject),1978,nominated,The Divided Trail: A Native American Odyssey ,"Jerry Aronson, Producer"
Documentary (Short Subject),1978,nominated,An Encounter with Faces ,"K.K. Kapil, Producer"
Documentary (Short Subject),1978,won,The Flight of the Gossamer Condor ,"Jacqueline Phillips Shedd and Ben Shedd, Producers"
Documentary (Short Subject),1978,nominated,Goodnight Miss Ann ,"August Cinquegrana, Producer"
Documentary (Short Subject),1978,nominated,Squires of San Quentin ,"J. Gary Mitchell, Producer"
Film Editing,1978,nominated,The Boys from Brazil ,Robert E. Swink
Film Editing,1978,nominated,Coming Home ,Don Zimmerman
Film Editing,1978,won,The Deer Hunter ,Peter Zinner
Film Editing,1978,nominated,Midnight Express ,Gerry Hambling
Film Editing,1978,nominated,Superman ,Stuart Baird
Foreign Language Film,1978,won,Get Out Your Handkerchiefs ,France
Foreign Language Film,1978,nominated,The Glass Cell ,German Federal Republic
Foreign Language Film,1978,nominated,Hungarians ,Hungary
Foreign Language Film,1978,nominated,Viva Italia! ,Italy
Foreign Language Film,1978,nominated,White Bim Black Ear ,Union of Soviet Socialist Republics
Music (Adaptation Score),1978,won,The Buddy Holly Story ,Joe Renzetti
Music (Adaptation Score),1978,nominated,Pretty Baby ,Jerry Wexler
Music (Adaptation Score),1978,nominated,The Wiz ,Quincy Jones
Music (Original Score),1978,nominated,The Boys from Brazil ,Jerry Goldsmith
Music (Original Score),1978,nominated,Days of Heaven ,Ennio Morricone
Music (Original Score),1978,nominated,Heaven Can Wait ,Dave Grusin
Music (Original Score),1978,won,Midnight Express ,Giorgio Moroder
Music (Original Score),1978,nominated,Superman ,John Williams
Music (Original Song),1978,nominated,"""Hopelessly Devoted To You"" from Grease",Music and Lyrics by John Farrar
Music (Original Song),1978,won,"""Last Dance"" from Thank God It's Friday",Music and Lyrics by Paul Jabara
Music (Original Song),1978,nominated,"""The Last Time I Felt Like This"" from Same Time, Next Year",Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman
Music (Original Song),1978,nominated,"""Ready To Take A Chance Again"" from Foul Play",Music by Charles Fox; Lyrics by Norman Gimbel
Music (Original Song),1978,nominated,"""When You're Loved"" from The Magic of Lassie",Music and Lyrics by Richard M. Sherman and Robert B. Sherman
Best Picture,1978,nominated,Coming Home ,"Jerome Hellman, Producer"
Best Picture,1978,won,The Deer Hunter ,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers"
Best Picture,1978,nominated,Heaven Can Wait ,"Warren Beatty, Producer"
Best Picture,1978,nominated,Midnight Express ,"Alan Marshall and David Puttnam, Producers"
Best Picture,1978,nominated,An Unmarried Woman ,"Paul Mazursky and Tony Ray, Producers"
Short Film (Animated),1978,nominated,Oh My Darling ,"Nico Crama, Producer"
Short Film (Animated),1978,nominated,Rip Van Winkle ,"Will Vinton, Producer"
Short Film (Animated),1978,won,Special Delivery ,"Eunice Macaulay and John Weldon, Producers"
Short Film (Live Action),1978,nominated,A Different Approach ,"Jim Belcher and Fern Field, Producers"
Short Film (Live Action),1978,nominated,Mandy's Grandmother ,"Andrew Sugerman, Producer"
Short Film (Live Action),1978,nominated,Strange Fruit ,"Seth Pinsker, Producer"
Short Film (Live Action),1978,won,Teenage Father ,"Taylor Hackford, Producer"
Sound,1978,nominated,The Buddy Holly Story ,"Tex Rudloff, Joel Fein, Curly Thirlwell, Willie Burton"
Sound,1978,nominated,Days of Heaven ,"John K. Wilkinson, Robert W. Glass, Jr., John T. Reitz, Barry Thomas"
Sound,1978,won,The Deer Hunter ,"Richard Portman, William McCaughey, Aaron Rochin, Darin Knight"
Sound,1978,nominated,Hooper ,"Robert Knudson, Robert J. Glass, Don MacDougall, Jack Solomon"
Sound,1978,nominated,Superman ,"Gordon K. McCallum, Graham Hartstone, Nicolas Le Messurier, Roy Charman"
Writing (Screenplay Based on Material from Another Medium),1978,nominated,Bloodbrothers ,Walter Newman
Writing (Screenplay Based on Material from Another Medium),1978,nominated,California Suite ,Neil Simon
Writing (Screenplay Based on Material from Another Medium),1978,nominated,Heaven Can Wait ,"Elaine May, Warren Beatty"
Writing (Screenplay Based on Material from Another Medium),1978,won,Midnight Express ,Oliver Stone
Writing (Screenplay Based on Material from Another Medium),1978,nominated,"Same Time, Next Year ",Bernard Slade
Writing (Screenplay Written Directly for the Screen),1978,nominated,Autumn Sonata ,Ingmar Bergman
Writing (Screenplay Written Directly for the Screen),1978,won,Coming Home ,"Story by Nancy Dowd; Screenplay by Waldo Salt, Robert C. Jones"
Writing (Screenplay Written Directly for the Screen),1978,nominated,The Deer Hunter ,"Story by Michael Cimino, Deric Washburn, Louis Garfinkle, Quinn K. Redeker; Screenplay by Deric Washburn"
Writing (Screenplay Written Directly for the Screen),1978,nominated,Interiors ,Woody Allen
Writing (Screenplay Written Directly for the Screen),1978,nominated,An Unmarried Woman ,Paul Mazursky
Special Achievement Award (Visual Effects),1978,won,Superman ,"Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, Zoran Perisic"
Jean Hersholt Humanitarian Award,1978,won,Leo Jaffe,
Honorary Award,1978,won,Walter Lantz,
Honorary Award,1978,won,The Museum of Modern Art Department of Film,
Honorary Award,1978,won,Laurence Olivier,
Honorary Award,1978,won,King Vidor,
Medal of Commendation,1978,won,Linwood G. Dunn,
Medal of Commendation,1978,won,Loren L. Ryder,
Medal of Commendation,1978,won,Waldon O. Watson,
Actor in a Leading Role,1979,won,Dustin Hoffman,Kramer vs. Kramer
Actor in a Leading Role,1979,nominated,Jack Lemmon,The China Syndrome
Actor in a Leading Role,1979,nominated,Al Pacino,...And Justice for All
Actor in a Leading Role,1979,nominated,Roy Scheider,All That Jazz
Actor in a Leading Role,1979,nominated,Peter Sellers,Being There
Actor in a Supporting Role,1979,won,Melvyn Douglas,Being There
Actor in a Supporting Role,1979,nominated,Robert Duvall,Apocalypse Now
Actor in a Supporting Role,1979,nominated,Frederic Forrest,The Rose
Actor in a Supporting Role,1979,nominated,Justin Henry,Kramer vs. Kramer
Actor in a Supporting Role,1979,nominated,Mickey Rooney,The Black Stallion
Actress in a Leading Role,1979,nominated,Jill Clayburgh,Starting Over
Actress in a Leading Role,1979,won,Sally Field,Norma Rae
Actress in a Leading Role,1979,nominated,Jane Fonda,The China Syndrome
Actress in a Leading Role,1979,nominated,Marsha Mason,Chapter Two
Actress in a Leading Role,1979,nominated,Bette Midler,The Rose
Actress in a Supporting Role,1979,nominated,Jane Alexander,Kramer vs. Kramer
Actress in a Supporting Role,1979,nominated,Barbara Barrie,Breaking Away
Actress in a Supporting Role,1979,nominated,Candice Bergen,Starting Over
Actress in a Supporting Role,1979,nominated,Mariel Hemingway,Manhattan
Actress in a Supporting Role,1979,won,Meryl Streep,Kramer vs. Kramer
Art Direction,1979,nominated,Alien ,"Art Direction: Michael Seymour, Les Dilley, Roger Christian; Set Decoration: Ian Whittaker"
Art Direction,1979,won,All That Jazz ,"Art Direction: Philip Rosenberg, Tony Walton; Set Decoration: Edward Stewart, Gary Brink"
Art Direction,1979,nominated,Apocalypse Now ,"Art Direction: Dean Tavoularis, Angelo Graham; Set Decoration: George R. Nelson"
Art Direction,1979,nominated,The China Syndrome ,Art Direction: George Jenkins; Set Decoration: Arthur Jeph Parker
Art Direction,1979,nominated,Star Trek - The Motion Picture ,"Art Direction: Harold Michelson, Joe Jennings, Leon Harris, John Vallone; Set Decoration: Linda DeScenna"
Cinematography,1979,nominated,All That Jazz ,Giuseppe Rotunno
Cinematography,1979,won,Apocalypse Now ,Vittorio Storaro
Cinematography,1979,nominated,The Black Hole ,Frank Phillips
Cinematography,1979,nominated,Kramer vs. Kramer ,Nestor Almendros
Cinematography,1979,nominated,1941,William A. Fraker
Costume Design,1979,nominated,Agatha ,Shirley Russell
Costume Design,1979,won,All That Jazz ,Albert Wolsky
Costume Design,1979,nominated,Butch and Sundance: The Early Days ,William Ware Theiss
Costume Design,1979,nominated,The Europeans ,Judy Moorcroft
Costume Design,1979,nominated,La Cage aux Folles ,"Piero Tosi, Ambra Danon"
Directing,1979,nominated,All That Jazz ,Bob Fosse
Directing,1979,nominated,Apocalypse Now ,Francis Coppola
Directing,1979,nominated,Breaking Away ,Peter Yates
Directing,1979,won,Kramer vs. Kramer ,Robert Benton
Directing,1979,nominated,La Cage aux Folles ,Edouard Molinaro
Documentary (Feature),1979,won,Best Boy ,"Ira Wohl, Producer"
Documentary (Feature),1979,nominated,Generation on the Wind ,"David A. Vassar, Producer"
Documentary (Feature),1979,nominated,Going the Distance ,"Paul Cowan and Jacques Bobet, Producers"
Documentary (Feature),1979,nominated,The Killing Ground ,"Steve Singer and Tom Priestley, Producers"
Documentary (Feature),1979,nominated,The War at Home ,"Glenn Silber and Barry Alexander Brown, Producers"
Documentary (Short Subject),1979,nominated,Dae ,"Risto Teofilovski, Producer"
Documentary (Short Subject),1979,nominated,Koryo Celadon ,"Donald A. Connolly and James R. Messenger, Producers"
Documentary (Short Subject),1979,nominated,Nails ,"Phillip Borsos, Producer"
Documentary (Short Subject),1979,won,Paul Robeson: Tribute to an Artist ,"Saul J. Turell, Producer"
Documentary (Short Subject),1979,nominated,Remember Me ,"Dick Young, Producer"
Film Editing,1979,won,All That Jazz ,Alan Heim
Film Editing,1979,nominated,Apocalypse Now ,"Richard Marks, Walter Murch, Gerald B. Greenberg, Lisa Fruchtman"
Film Editing,1979,nominated,The Black Stallion ,Robert Dalva
Film Editing,1979,nominated,Kramer vs. Kramer ,Jerry Greenberg
Film Editing,1979,nominated,The Rose ,"Robert L. Wolfe, C. Timothy O'Meara"
Foreign Language Film,1979,nominated,The Maids of Wilko ,Poland
Foreign Language Film,1979,nominated,Mama Turns a Hundred ,Spain
Foreign Language Film,1979,nominated,A Simple Story ,France
Foreign Language Film,1979,won,The Tin Drum ,Federal Republic of Germany
Foreign Language Film,1979,nominated,To Forget Venice ,Italy
Music (Original Score),1979,nominated,The Amityville Horror ,Lalo Schifrin
Music (Original Score),1979,nominated,The Champ ,Dave Grusin
Music (Original Score),1979,won,A Little Romance ,Georges Delerue
Music (Original Score),1979,nominated,Star Trek - The Motion Picture ,Jerry Goldsmith
Music (Original Score),1979,nominated,10,Henry Mancini
Music (Original Song Score and Its Adaptation -Or- Adaptation Score),1979,won,All That Jazz ,Adaptation Score by Ralph Burns
Music (Original Song Score and Its Adaptation -Or- Adaptation Score),1979,nominated,Breaking Away ,Adaptation Score by Patrick Williams
Music (Original Song Score and Its Adaptation -Or- Adaptation Score),1979,nominated,The Muppet Movie ,Song Score by Paul Williams and Kenny Ascher; Adaptation Score by Paul Williams
Music (Original Song),1979,nominated,"""I'll Never Say 'Goodbye'"" from The Promise",Music by David Shire; Lyric by Alan Bergman and Marilyn Bergman
Music (Original Song),1979,won,"""It Goes Like It Goes"" from Norma Rae",Music by David Shire; Lyric by Norman Gimbel
Music (Original Song),1979,nominated,"""It's Easy To Say"" from 10",Music by Henry Mancini; Lyric by Robert Wells
Music (Original Song),1979,nominated,"""The Rainbow Connection"" from The Muppet Movie",Music and Lyric by Paul Williams and Kenny Ascher
Music (Original Song),1979,nominated,"""Through The Eyes Of Love"" from Ice Castles",Music by Marvin Hamlisch; Lyric by Carole Bayer Sager
Best Picture,1979,nominated,All That Jazz ,"Robert Alan Aurthur, Producer"
Best Picture,1979,nominated,Apocalypse Now ,"Francis Coppola, Producer; Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers"
Best Picture,1979,nominated,Breaking Away ,"Peter Yates, Producer"
Best Picture,1979,won,Kramer vs. Kramer ,"Stanley R. Jaffe, Producer"
Best Picture,1979,nominated,Norma Rae ,"Tamara Asseyev and Alex Rose, Producers"
Short Film (Animated),1979,nominated,Dream Doll ,"Bob Godfrey and Zlatko Grgic, Producers"
Short Film (Animated),1979,won,Every Child ,"Derek Lamb, Producer"
Short Film (Animated),1979,nominated,It's So Nice to Have a Wolf around the House ,"Paul Fierlinger, Producer"
Short Film (Live Action),1979,won,Board and Care ,"Sarah Pillsbury and Ron Ellis, Producers"
Short Film (Live Action),1979,nominated,Bravery in the Field ,"Roman Kroitor and Stefan Wodoslawsky, Producers"
Short Film (Live Action),1979,nominated,"Oh Brother, My Brother ","Carol Lowell and Ross Lowell, Producers"
Short Film (Live Action),1979,nominated,The Solar Film ,"Saul Bass and Michael Britton, Producers"
Short Film (Live Action),1979,nominated,Solly's Diner ,"Harry Mathias, Jay Zukerman and Larry Hankin, Producers"
Sound,1979,won,Apocalypse Now ,"Walter Murch, Mark Berger, Richard Beggs, Nat Boxer"
Sound,1979,nominated,The Electric Horseman ,"Arthur Piantadosi, Les Fresholtz, Michael Minkler, Al Overton"
Sound,1979,nominated,Meteor ,"William McCaughey, Aaron Rochin, Michael J. Kohut, Jack Solomon"
Sound,1979,nominated,1941,"Robert Knudson, Robert J. Glass, Don MacDougall, Gene S. Cantamessa"
Sound,1979,nominated,The Rose ,"Theodore Soderberg, Douglas Williams, Paul Wells, Jim Webb"
Visual Effects,1979,won,Alien ,"H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling"
Visual Effects,1979,nominated,The Black Hole ,"Peter Ellenshaw, Art Cruickshank, Eustace Lycett, Danny Lee, Harrison Ellenshaw, Joe Hale"
Visual Effects,1979,nominated,Moonraker ,"Derek Meddings, Paul Wilson, John Evans"
Visual Effects,1979,nominated,1941,"William A. Fraker, A. D. Flowers, Gregory Jein"
Visual Effects,1979,nominated,Star Trek - The Motion Picture ,"Douglas Trumbull, John Dykstra, Richard Yuricich, Robert Swarthe, Dave Stewart, Grant McCune"
Writing (Screenplay Based on Material from Another Medium),1979,nominated,Apocalypse Now ,"John Milius, Francis Coppola"
Writing (Screenplay Based on Material from Another Medium),1979,won,Kramer vs. Kramer ,Robert Benton
Writing (Screenplay Based on Material from Another Medium),1979,nominated,La Cage aux Folles ,"Francis Veber, Edouard Molinaro, Marcello Danon, Jean Poiret"
Writing (Screenplay Based on Material from Another Medium),1979,nominated,A Little Romance ,Allan Burns
Writing (Screenplay Based on Material from Another Medium),1979,nominated,Norma Rae ,"Irving Ravetch, Harriet Frank, Jr."
Writing (Screenplay Written Directly for the Screen),1979,nominated,All That Jazz ,"Robert Alan Aurthur, Bob Fosse"
Writing (Screenplay Written Directly for the Screen),1979,nominated,...And Justice for All ,"Valerie Curtin, Barry Levinson"
Writing (Screenplay Written Directly for the Screen),1979,won,Breaking Away ,Steve Tesich
Writing (Screenplay Written Directly for the Screen),1979,nominated,The China Syndrome ,"Mike Gray, T.S. Cook, James Bridges"
Writing (Screenplay Written Directly for the Screen),1979,nominated,Manhattan ,"Woody Allen, Marshall Brickman"
Special Achievement Award (Sound Editing),1979,won,The Black Stallion ,Alan Splet
Jean Hersholt Humanitarian Award,1979,won,Robert Benjamin,
Honorary Award,1979,won,Alec Guinness,
Honorary Award,1979,won,Hal Elias,
Irving G. Thalberg Memorial Award,1979,won,Ray Stark,
Medal of Commendation,1979,won,John O. Aalberg,
Medal of Commendation,1979,won,Charles G. Clarke,
Medal of Commendation,1979,won,John G. Frayne,
Actor in a Leading Role,1980,won,Robert De Niro,Raging Bull
Actor in a Leading Role,1980,nominated,Robert Duvall,The Great Santini
Actor in a Leading Role,1980,nominated,John Hurt,The Elephant Man
Actor in a Leading Role,1980,nominated,Jack Lemmon,Tribute
Actor in a Leading Role,1980,nominated,Peter O'Toole,The Stunt Man
Actor in a Supporting Role,1980,nominated,Judd Hirsch,Ordinary People
Actor in a Supporting Role,1980,won,Timothy Hutton,Ordinary People
Actor in a Supporting Role,1980,nominated,Michael O'Keefe,The Great Santini
Actor in a Supporting Role,1980,nominated,Joe Pesci,Raging Bull
Actor in a Supporting Role,1980,nominated,Jason Robards,Melvin and Howard
Actress in a Leading Role,1980,nominated,Ellen Burstyn,Resurrection
Actress in a Leading Role,1980,nominated,Goldie Hawn,Private Benjamin
Actress in a Leading Role,1980,nominated,Mary Tyler Moore,Ordinary People
Actress in a Leading Role,1980,nominated,Gena Rowlands,Gloria
Actress in a Leading Role,1980,won,Sissy Spacek,Coal Miner's Daughter
Actress in a Supporting Role,1980,nominated,Eileen Brennan,Private Benjamin
Actress in a Supporting Role,1980,nominated,Eva Le Gallienne,Resurrection
Actress in a Supporting Role,1980,nominated,Cathy Moriarty,Raging Bull
Actress in a Supporting Role,1980,nominated,Diana Scarwid,Inside Moves
Actress in a Supporting Role,1980,won,Mary Steenburgen,Melvin and Howard
Art Direction,1980,nominated,Coal Miner's Daughter ,Art Direction: John W. Corso; Set Decoration: John M. Dwyer
Art Direction,1980,nominated,The Elephant Man ,"Art Direction: Stuart Craig, Bob Cartwright; Set Decoration: Hugh Scaife"
Art Direction,1980,nominated,The Empire Strikes Back ,"Art Direction: Norman Reynolds, Leslie Dilley, Harry Lange, Alan Tomkins; Set Decoration: Michael Ford"
Art Direction,1980,nominated,Kagemusha (The Shadow Warrior) ,Yoshiro Muraki
Art Direction,1980,won,Tess ,"Art Direction: Pierre Guffroy, Jack Stephens"
Cinematography,1980,nominated,The Blue Lagoon ,Nestor Almendros
Cinematography,1980,nominated,Coal Miner's Daughter ,Ralf D. Bode
Cinematography,1980,nominated,The Formula ,James Crabe
Cinematography,1980,nominated,Raging Bull ,Michael Chapman
Cinematography,1980,won,Tess ,"Geoffrey Unsworth, Ghislain Cloquet"
Costume Design,1980,nominated,The Elephant Man ,Patricia Norris
Costume Design,1980,nominated,My Brilliant Career ,Anna Senior
Costume Design,1980,nominated,Somewhere in Time ,Jean-Pierre Dorleac
Costume Design,1980,won,Tess ,Anthony Powell
Costume Design,1980,nominated,When Time Ran Out ,Paul Zastupnevich
Directing,1980,nominated,The Elephant Man ,David Lynch
Directing,1980,won,Ordinary People ,Robert Redford
Directing,1980,nominated,Raging Bull ,Martin Scorsese
Directing,1980,nominated,The Stunt Man ,Richard Rush
Directing,1980,nominated,Tess ,Roman Polanski
Documentary (Feature),1980,nominated,Agee ,"Ross Spears, Producer"
Documentary (Feature),1980,nominated,The Day after Trinity ,"Jon Else, Producer"
Documentary (Feature),1980,won,From Mao to Mozart: Isaac Stern in China ,"Murray Lerner, Producer"
Documentary (Feature),1980,nominated,Front Line ,"David Bradbury, Producer"
Documentary (Feature),1980,nominated,The Yellow Star - The Persecution of the Jews in Europe 1933-45 ,"Bengt von zur Muehlen and Arthur Cohn, Producers"
Documentary (Short Subject),1980,nominated,Don't Mess with Bill ,"John Watson and Pen Densham, Producers"
Documentary (Short Subject),1980,nominated,The Eruption of Mount St. Helens ,"George Casey, Producer"
Documentary (Short Subject),1980,nominated,It's the Same World ,"Dick Young, Producer"
Documentary (Short Subject),1980,won,Karl Hess: Toward Liberty ,"Roland Hallé and Peter W. Ladue, Producers"
Documentary (Short Subject),1980,nominated,Luther Metke at 94 ,"Richard Hawkins and Jorge Preloran, Producers"
Film Editing,1980,nominated,Coal Miner's Daughter ,Arthur Schmidt
Film Editing,1980,nominated,The Competition ,David Blewitt
Film Editing,1980,nominated,The Elephant Man ,Anne V. Coates
Film Editing,1980,nominated,Fame ,Gerry Hambling
Film Editing,1980,won,Raging Bull ,Thelma Schoonmaker
Foreign Language Film,1980,nominated,Confidence ,Hungary
Foreign Language Film,1980,nominated,Kagemusha (The Shadow Warrior) ,Japan
Foreign Language Film,1980,nominated,The Last Metro ,France
Foreign Language Film,1980,won,Moscow Does Not Believe in Tears ,Union of Soviet Socialist Republics
Foreign Language Film,1980,nominated,The Nest ,Spain
Music (Original Score),1980,nominated,Altered States ,John Corigliano
Music (Original Score),1980,nominated,The Elephant Man ,John Morris
Music (Original Score),1980,nominated,The Empire Strikes Back ,John Williams
Music (Original Score),1980,won,Fame ,Michael Gore
