Year,Award,Winning,Name,Film
1931/1932,Outstanding Production,nominated,The Smiling Lieutenant ,Paramount Publix
1931/1932,Short Subject (Cartoon),won,Flowers and Trees ,"Walt Disney, Producer"
1931/1932,Short Subject (Cartoon),nominated,It's Got Me Again ,"Leon Schlesinger, Producer"
1931/1932,Short Subject (Cartoon),nominated,Mickey's Orphans ,"Walt Disney, Producer"
1931/1932,Short Subject (Comedy),nominated,The Loud Mouth ,"Mack Sennett, Producer"
1931/1932,Short Subject (Comedy),won,The Music Box ,"Hal Roach, Producer"
1931/1932,Short Subject (Comedy),nominated,Scratch-As-Catch-Can ,RKO Radio
1931/1932,Short Subject (Comedy),nominated,Stout Hearts and Willing Hands ,RKO Radio
1931/1932,Short Subject (Novelty),nominated,Screen Souvenirs ,Paramount Publix
1931/1932,Short Subject (Novelty),nominated,Swing High ,Metro-Goldwyn-Mayer
1931/1932,Short Subject (Novelty),won,Wrestling Swordfish ,"Mack Sennett, Producer"
1931/1932,Sound Recording,nominated,Metro-Goldwyn-Mayer Studio Sound Department,
1931/1932,Sound Recording,won,Paramount Publix Studio Sound Department,
1931/1932,Sound Recording,nominated,RKO Radio Studio Sound Department,
1931/1932,Sound Recording,nominated,Warner Brothers-First National Studio Sound Department,
1931/1932,Writing (Adaptation),nominated,Arrowsmith ,Sidney Howard
1931/1932,Writing (Adaptation),won,Bad Girl ,Edwin Burke
1931/1932,Writing (Adaptation),nominated,Dr. Jekyll and Mr. Hyde ,"Percy Heath, Samuel Hoffenstein"
1931/1932,Writing (Original Story),won,The Champ ,Frances Marion
1931/1932,Writing (Original Story),nominated,Lady and Gent ,"Grover Jones, William Slavens McNutt"
1931/1932,Writing (Original Story),nominated,The Star Witness ,Lucien Hubbard
1931/1932,Writing (Original Story),nominated,What Price Hollywood? ,"Adela Rogers St. Johns, Jane Murfin"
1931/1932,Special Award,won,Walt Disney,“Mickey Mouse”
1932/1933,Actor,nominated,Leslie Howard,Berkeley Square
1932/1933,Actor,won,Charles Laughton,The Private Life of Henry VIII
1932/1933,Actor,nominated,Paul Muni,I Am a Fugitive from a Chain Gang
1932/1933,Actress,won,Katharine Hepburn,Morning Glory
