Year,Award,Winning,Name,Film
1982,Music (Original Score),nominated,Gandhi ,"Ravi Shankar, George Fenton"
1982,Music (Original Score),nominated,An Officer and a Gentleman ,Jack Nitzsche
1982,Music (Original Score),nominated,Poltergeist ,Jerry Goldsmith
1982,Music (Original Score),nominated,Sophie's Choice ,Marvin Hamlisch
1982,Music (Original Song Score and Its Adaptation -Or- Adaptation Score),nominated,Annie ,Adaptation Score by Ralph Burns
1982,Music (Original Song Score and Its Adaptation -Or- Adaptation Score),nominated,One from the Heart ,Song Score by Tom Waits
1982,Music (Original Song Score and Its Adaptation -Or- Adaptation Score),won,Victor/Victoria ,Song Score by Henry Mancini and Leslie Bricusse; Adaptation Score by Henry Mancini
1982,Music (Original Song),nominated,"""Eye Of The Tiger"" from Rocky III",Music and Lyric by Jim Peterik and Frankie Sullivan III
1982,Music (Original Song),nominated,"""How Do You Keep The Music Playing?"" from Best Friends",Music by Michel Legrand; Lyric by Alan Bergman and Marilyn Bergman
1982,Music (Original Song),nominated,"""If We Were In Love"" from Yes, Giorgio",Music by John Williams; Lyric by Alan Bergman and Marilyn Bergman
1982,Music (Original Song),nominated,"""It Might Be You"" from Tootsie",Music by Dave Grusin; Lyric by Alan Bergman and Marilyn Bergman
1982,Music (Original Song),won,"""Up Where We Belong"" from An Officer and a Gentleman",Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings
1982,Best Picture,nominated,E.T. The Extra-Terrestrial ,"Steven Spielberg and Kathleen Kennedy, Producers"
1982,Best Picture,won,Gandhi ,"Richard Attenborough, Producer"
1982,Best Picture,nominated,Missing ,"Edward Lewis and Mildred Lewis, Producers"
1982,Best Picture,nominated,Tootsie ,"Sydney Pollack and Dick Richards, Producers"
1982,Best Picture,nominated,The Verdict ,"Richard D. Zanuck and David Brown, Producers"
1982,Short Film (Animated),nominated,The Great Cognito ,"Will Vinton, Producer"
1982,Short Film (Animated),nominated,The Snowman ,"John Coates, Producer"
1982,Short Film (Animated),won,Tango ,"Zbigniew Rybczynski, Producer"
1982,Short Film (Live Action),nominated,Ballet Robotique ,"Bob Rogers, Producer"
1982,Short Film (Live Action),won,A Shocking Accident ,"Christine Oestreicher, Producer"
1982,Short Film (Live Action),nominated,The Silence ,"Michael Toshiyuki Uno and Joseph Benson, Producers"
1982,Short Film (Live Action),nominated,Split Cherry Tree ,"Jan Saunders, Producer"
1982,Short Film (Live Action),nominated,Sredni Vashtar ,"Andrew Birkin, Producer"
1982,Sound,nominated,Das Boot ,"Milan Bor, Trevor Pyke, Mike Le-Mare"
1982,Sound,won,E.T. The Extra-Terrestrial ,"Robert Knudson, Robert Glass, Don Digirolamo, Gene Cantamessa"
1982,Sound,nominated,Gandhi ,"Gerry Humphreys, Robin O'Donoghue, Jonathan Bates, Simon Kaye"
1982,Sound,nominated,Tootsie ,"Arthur Piantadosi, Les Fresholtz, Dick Alexander, Les Lazarowitz"
1982,Sound,nominated,Tron ,"Michael Minkler, Bob Minkler, Lee Minkler, Jim La Rue"
1982,Sound Effects Editing,nominated,Das Boot ,Mike Le-Mare
1982,Sound Effects Editing,won,E.T. The Extra-Terrestrial ,"Charles L. Campbell, Ben Burtt"
1982,Sound Effects Editing,nominated,Poltergeist ,"Stephen Hunter Flick, Richard L. Anderson"
1982,Visual Effects,nominated,Blade Runner ,"Douglas Trumbull, Richard Yuricich, David Dryer"
1982,Visual Effects,won,E.T. The Extra-Terrestrial ,"Carlo Rambaldi, Dennis Muren, Kenneth F. Smith"
1982,Visual Effects,nominated,Poltergeist ,"Richard Edlund, Michael Wood, Bruce Nicholson"
1982,Writing (Screenplay Based on Material from Another Medium),nominated,Das Boot ,Wolfgang Petersen
1982,Writing (Screenplay Based on Material from Another Medium),won,Missing ,"Costa-Gavras, Donald Stewart"
1982,Writing (Screenplay Based on Material from Another Medium),nominated,Sophie's Choice ,Alan J. Pakula
1982,Writing (Screenplay Based on Material from Another Medium),nominated,The Verdict ,David Mamet
1982,Writing (Screenplay Based on Material from Another Medium),nominated,Victor/Victoria ,Blake Edwards
1982,Writing (Screenplay Written Directly for the Screen),nominated,Diner ,Barry Levinson
1982,Writing (Screenplay Written Directly for the Screen),nominated,E.T. The Extra-Terrestrial ,Melissa Mathison
1982,Writing (Screenplay Written Directly for the Screen),won,Gandhi ,John Briley
1982,Writing (Screenplay Written Directly for the Screen),nominated,An Officer and a Gentleman ,Douglas Day Stewart
1982,Writing (Screenplay Written Directly for the Screen),nominated,Tootsie ,"Screenplay by Larry Gelbart, Murray Schisgal; Story by Don McGuire, Larry Gelbart"
1982,Jean Hersholt Humanitarian Award,won,Walter Mirisch,
1982,Honorary Award,won,Mickey Rooney,
1982,Gordon E. Sawyer Award,won,John O. Aalberg,
1983,Actor in a Leading Role,nominated,Michael Caine,Educating Rita
1983,Actor in a Leading Role,nominated,Tom Conti,"Reuben, Reuben"
1983,Actor in a Leading Role,nominated,Tom Courtenay,The Dresser
1983,Actor in a Leading Role,won,Robert Duvall,Tender Mercies
1983,Actor in a Leading Role,nominated,Albert Finney,The Dresser
1983,Actor in a Supporting Role,nominated,Charles Durning,To Be or Not to Be
1983,Actor in a Supporting Role,nominated,John Lithgow,Terms of Endearment
1983,Actor in a Supporting Role,won,Jack Nicholson,Terms of Endearment
1983,Actor in a Supporting Role,nominated,Sam Shepard,The Right Stuff
1983,Actor in a Supporting Role,nominated,Rip Torn,Cross Creek
1983,Actress in a Leading Role,nominated,Jane Alexander,Testament
1983,Actress in a Leading Role,won,Shirley MacLaine,Terms of Endearment
1983,Actress in a Leading Role,nominated,Meryl Streep,Silkwood
1983,Actress in a Leading Role,nominated,Julie Walters,Educating Rita
1983,Actress in a Leading Role,nominated,Debra Winger,Terms of Endearment
1983,Actress in a Supporting Role,nominated,Cher,Silkwood
1983,Actress in a Supporting Role,nominated,Glenn Close,The Big Chill
1983,Actress in a Supporting Role,won,Linda Hunt,The Year of Living Dangerously
1983,Actress in a Supporting Role,nominated,Amy Irving,Yentl
1983,Actress in a Supporting Role,nominated,Alfre Woodard,Cross Creek
1983,Art Direction,won,Fanny & Alexander ,Anna Asp
1983,Art Direction,nominated,Return of the Jedi ,"Art Direction: Norman Reynolds, Fred Hole, James Schoppe; Set Decoration: Michael Ford"
1983,Art Direction,nominated,The Right Stuff ,"Art Direction: Geoffrey Kirkland, Richard J. Lawrence, W. Stewart Campbell, Peter Romero; Set Decoration: Pat Pending, George R. Nelson"
1983,Art Direction,nominated,Terms of Endearment ,"Art Direction: Polly Platt, Harold Michelson; Set Decoration: Tom Pedigo, Anthony Mondello"
1983,Art Direction,nominated,Yentl ,"Art Direction: Roy Walker, Leslie Tomkins; Set Decoration: Tessa Davies"
1983,Cinematography,won,Fanny & Alexander ,Sven Nykvist
1983,Cinematography,nominated,Flashdance ,Don Peterman
1983,Cinematography,nominated,The Right Stuff ,Caleb Deschanel
1983,Cinematography,nominated,WarGames ,William A. Fraker
1983,Cinematography,nominated,Zelig ,Gordon Willis
1983,Costume Design,nominated,Cross Creek ,Joe I. Tompkins
1983,Costume Design,won,Fanny & Alexander ,Marik Vos
1983,Costume Design,nominated,Heart Like a Wheel ,William Ware Theiss
1983,Costume Design,nominated,The Return of Martin Guerre ,Anne-Marie Marchand
1983,Costume Design,nominated,Zelig ,Santo Loquasto
1983,Directing,nominated,The Dresser ,Peter Yates
1983,Directing,nominated,Fanny & Alexander ,Ingmar Bergman
1983,Directing,nominated,Silkwood ,Mike Nichols
1983,Directing,nominated,Tender Mercies ,Bruce Beresford
1983,Directing,won,Terms of Endearment ,James L. Brooks
1983,Documentary (Feature),nominated,Children of Darkness ,"Richard Kotuk and Ara Chekmayan, Producers"
1983,Documentary (Feature),nominated,First Contact ,"Bob Connolly and Robin Anderson, Producers"
1983,Documentary (Feature),won,He Makes Me Feel Like Dancin' ,"Emile Ardolino, Producer"
1983,Documentary (Feature),nominated,The Profession of Arms ,"Michael Bryans and Tina Viljoen, Producers"
1983,Documentary (Feature),nominated,Seeing Red ,"James Klein and Julia Reichert, Producers"
1983,Documentary (Short Subject),won,Flamenco at 5:15 ,"Cynthia Scott and Adam Symansky, Producers"
1983,Documentary (Short Subject),nominated,In the Nuclear Shadow: What Can the Children Tell Us? ,"Vivienne Verdon-Roe and Eric Thiermann, Producers"
1983,Documentary (Short Subject),nominated,Sewing Woman ,"Arthur Dong, Producer"
1983,Documentary (Short Subject),nominated,Spaces: The Architecture of Paul Rudolph ,"Robert Eisenhardt, Producer"
1983,Documentary (Short Subject),nominated,You Are Free  (Ihr Zent Frei) ,"Dea Brokman and Ilene Landis, Producers"
1983,Film Editing,nominated,Blue Thunder ,"Frank Morriss, Edward Abroms"
1983,Film Editing,nominated,Flashdance ,"Bud Smith, Walt Mulconery"
1983,Film Editing,won,The Right Stuff ,"Glenn Farr, Lisa Fruchtman, Stephen A. Rotter, Douglas Stewart, Tom Rolf"
1983,Film Editing,nominated,Silkwood ,Sam O'Steen
1983,Film Editing,nominated,Terms of Endearment ,Richard Marks
1983,Foreign Language Film,nominated,Carmen ,Spain
1983,Foreign Language Film,nominated,Entre Nous ,France
1983,Foreign Language Film,won,Fanny & Alexander ,Sweden
1983,Foreign Language Film,nominated,Job's Revolt ,Hungary
1983,Foreign Language Film,nominated,Le Bal ,Algeria
1983,Music (Original Score),nominated,Cross Creek ,Leonard Rosenman
1983,Music (Original Score),nominated,Return of the Jedi ,John Williams
1983,Music (Original Score),won,The Right Stuff ,Bill Conti
1983,Music (Original Score),nominated,Terms of Endearment ,Michael Gore
1983,Music (Original Score),nominated,Under Fire ,Jerry Goldsmith
1983,Music (Original Song Score or Adaptation Score),nominated,The Sting II ,Adaptation Score by Lalo Schifrin
1983,Music (Original Song Score or Adaptation Score),nominated,Trading Places ,Adaptation Score by Elmer Bernstein
1983,Music (Original Song Score or Adaptation Score),won,Yentl ,"Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman"
1983,Music (Original Song),won,"""Flashdance...What A Feeling"" from Flashdance",Music by Giorgio Moroder; Lyric by Keith Forsey and Irene Cara
1983,Music (Original Song),nominated,"""Maniac"" from Flashdance",Music and Lyric by Michael Sembello and Dennis Matkosky
1983,Music (Original Song),nominated,"""Over You"" from Tender Mercies",Music and Lyric by Austin Roberts and Bobby Hart
1983,Music (Original Song),nominated,"""Papa, Can You Hear Me?"" from Yentl",Music by Michel Legrand; Lyric by Alan Bergman and Marilyn Bergman
1983,Music (Original Song),nominated,"""The Way He Makes Me Feel"" from Yentl",Music by Michel Legrand; Lyric by Alan Bergman and Marilyn Bergman
1983,Best Picture,nominated,The Big Chill ,"Michael Shamberg, Producer"
1983,Best Picture,nominated,The Dresser ,"Peter Yates, Producer"
1983,Best Picture,nominated,The Right Stuff ,"Irwin Winkler and Robert Chartoff, Producers"
1983,Best Picture,nominated,Tender Mercies ,"Philip S. Hobel, Producer"
1983,Best Picture,won,Terms of Endearment ,"James L. Brooks, Producer"
1983,Short Film (Animated),nominated,Mickey's Christmas Carol ,"Burny Mattinson, Producer"
1983,Short Film (Animated),nominated,Sound of Sunshine - Sound of Rain ,"Eda Godel Hallinan, Producer"
1983,Short Film (Animated),won,Sundae in New York ,"Jimmy Picker, Producer"
1983,Short Film (Live Action),won,Boys and Girls ,"Janice L. Platt, Producer"
1983,Short Film (Live Action),nominated,Goodie-Two-Shoes ,"Ian Emes, Producer"
1983,Short Film (Live Action),nominated,Overnight Sensation ,"Jon N. Bloom, Producer"
1983,Sound,nominated,Never Cry Wolf ,"Alan R. Splet, Todd Boekelheide, Randy Thom, David Parker"
1983,Sound,nominated,Return of the Jedi ,"Ben Burtt, Gary Summers, Randy Thom, Tony Dawe"
1983,Sound,won,The Right Stuff ,"Mark Berger, Tom Scott, Randy Thom, David MacMillan"
1983,Sound,nominated,Terms of Endearment ,"Donald O. Mitchell, Rick Kline, Kevin O'Connell, Jim Alexander"
1983,Sound,nominated,WarGames ,"Michael J. Kohut, Carlos de Larios, Aaron Rochin, Willie D. Burton"
1983,Sound Effects Editing,nominated,Return of the Jedi ,Ben Burtt
1983,Sound Effects Editing,won,The Right Stuff ,Jay Boekelheide
1983,Writing (Screenplay Based on Material from Another Medium),nominated,Betrayal ,Harold Pinter
1983,Writing (Screenplay Based on Material from Another Medium),nominated,The Dresser ,Ronald Harwood
1983,Writing (Screenplay Based on Material from Another Medium),nominated,Educating Rita ,Willy Russell
1983,Writing (Screenplay Based on Material from Another Medium),nominated,"Reuben, Reuben ",Julius J. Epstein
1983,Writing (Screenplay Based on Material from Another Medium),won,Terms of Endearment ,James L. Brooks
1983,Writing (Screenplay Written Directly for the Screen),nominated,The Big Chill ,"Lawrence Kasdan, Barbara Benedek"
1983,Writing (Screenplay Written Directly for the Screen),nominated,Fanny & Alexander ,Ingmar Bergman
1983,Writing (Screenplay Written Directly for the Screen),nominated,Silkwood ,"Nora Ephron, Alice Arlen"
1983,Writing (Screenplay Written Directly for the Screen),won,Tender Mercies ,Horton Foote
1983,Writing (Screenplay Written Directly for the Screen),nominated,WarGames ,"Lawrence Lasker, Walter F. Parkes"
1983,Special Achievement Award (Visual Effects),won,Return of the Jedi ,"Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett"
1983,Jean Hersholt Humanitarian Award,won,M. J. Frankovich,
1983,Honorary Award,won,Hal Roach,
1983,Gordon E. Sawyer Award,won,Dr. John G. Frayne,
1984,Actor in a Leading Role,won,F. Murray Abraham,Amadeus
1984,Actor in a Leading Role,nominated,Jeff Bridges,Starman
1984,Actor in a Leading Role,nominated,Albert Finney,Under the Volcano
1984,Actor in a Leading Role,nominated,Tom Hulce,Amadeus
1984,Actor in a Leading Role,nominated,Sam Waterston,The Killing Fields
1984,Actor in a Supporting Role,nominated,Adolph Caesar,A Soldier's Story
1984,Actor in a Supporting Role,nominated,John Malkovich,Places in the Heart
1984,Actor in a Supporting Role,nominated,Noriyuki 'Pat' Morita,The Karate Kid
1984,Actor in a Supporting Role,won,Haing S. Ngor,The Killing Fields
1984,Actor in a Supporting Role,nominated,Ralph Richardson,"Greystoke: The Legend of Tarzan, Lord of the Apes"
1984,Actress in a Leading Role,nominated,Judy Davis,A Passage to India
1984,Actress in a Leading Role,won,Sally Field,Places in the Heart
1984,Actress in a Leading Role,nominated,Jessica Lange,Country
1984,Actress in a Leading Role,nominated,Vanessa Redgrave,The Bostonians
1984,Actress in a Leading Role,nominated,Sissy Spacek,The River
1984,Actress in a Supporting Role,won,Peggy Ashcroft,A Passage to India
1984,Actress in a Supporting Role,nominated,Glenn Close,The Natural
1984,Actress in a Supporting Role,nominated,Lindsay Crouse,Places in the Heart
1984,Actress in a Supporting Role,nominated,Christine Lahti,Swing Shift
1984,Actress in a Supporting Role,nominated,Geraldine Page,The Pope of Greenwich Village
1984,Art Direction,won,Amadeus ,Art Direction: Patrizia Von Brandenstein; Set Decoration: Karel Cerny
1984,Art Direction,nominated,The Cotton Club ,"Art Direction: Richard Sylbert; Set Decoration: George Gaines, Les Bloom"
1984,Art Direction,nominated,The Natural ,"Art Direction: Angelo Graham, Mel Bourne, James J. Murakami, Speed Hopkins; Set Decoration: Bruce Weintraub"
1984,Art Direction,nominated,A Passage to India ,"Art Direction: John Box, Leslie Tomkins; Set Decoration: Hugh Scaife"
1984,Art Direction,nominated,2010,Art Direction: Albert Brenner; Set Decoration: Rick Simpson
1984,Cinematography,nominated,Amadeus ,Miroslav Ondricek
1984,Cinematography,won,The Killing Fields ,Chris Menges
1984,Cinematography,nominated,The Natural ,Caleb Deschanel
1984,Cinematography,nominated,A Passage to India ,Ernest Day
1984,Cinematography,nominated,The River ,Vilmos Zsigmond
1984,Costume Design,won,Amadeus ,Theodor Pistek
1984,Costume Design,nominated,The Bostonians ,"Jenny Beavan, John Bright"
1984,Costume Design,nominated,A Passage to India ,Judy Moorcroft
1984,Costume Design,nominated,Places in the Heart ,Ann Roth
1984,Costume Design,nominated,2010,Patricia Norris
1984,Directing,won,Amadeus ,Milos Forman
1984,Directing,nominated,Broadway Danny Rose ,Woody Allen
1984,Directing,nominated,The Killing Fields ,Roland Joffé
1984,Directing,nominated,A Passage to India ,David Lean
1984,Directing,nominated,Places in the Heart ,Robert Benton
1984,Documentary (Feature),nominated,High Schools ,"Charles Guggenheim and Nancy Sloss, Producers"
1984,Documentary (Feature),nominated,In the Name of the People ,"Alex W. Drehsler and Frank Christopher, Producers"
1984,Documentary (Feature),nominated,Marlene ,"Karel Dirka and Zev Braun, Producers"
1984,Documentary (Feature),nominated,Streetwise ,"Cheryl McCall, Producer"
1984,Documentary (Feature),won,The Times of Harvey Milk ,"Robert Epstein and Richard Schmiechen, Producers"
1984,Documentary (Short Subject),nominated,The Children of Soong Ching Ling ,"Gary Bush and Paul T.K. Lin, Producers"
1984,Documentary (Short Subject),nominated,Code Gray: Ethical Dilemmas in Nursing ,"Ben Achtenberg and Joan Sawyer, Producers"
1984,Documentary (Short Subject),nominated,The Garden of Eden ,"Lawrence R. Hott and Roger M. Sherman, Producers"
1984,Documentary (Short Subject),nominated,Recollections of Pavlovsk ,"Irina Kalinina, Producer"
1984,Documentary (Short Subject),won,The Stone Carvers ,"Marjorie Hunt and Paul Wagner, Producers"
1984,Film Editing,nominated,Amadeus ,"Nena Danevic, Michael Chandler"
1984,Film Editing,nominated,The Cotton Club ,"Barry Malkin, Robert Q. Lovett"
1984,Film Editing,won,The Killing Fields ,Jim Clark
1984,Film Editing,nominated,A Passage to India ,David Lean
1984,Film Editing,nominated,Romancing the Stone ,"Donn Cambern, Frank Morriss"
1984,Foreign Language Film,nominated,Beyond the Walls ,Israel
1984,Foreign Language Film,nominated,Camila ,Argentina
1984,Foreign Language Film,won,Dangerous Moves ,Switzerland
1984,Foreign Language Film,nominated,Double Feature ,Spain
1984,Foreign Language Film,nominated,Wartime Romance ,Union of Soviet Socialist Republics
1984,Makeup,won,Amadeus ,"Paul LeBlanc, Dick Smith"
1984,Makeup,nominated,"Greystoke: The Legend of Tarzan, Lord of the Apes ","Rick Baker, Paul Engelen"
1984,Makeup,nominated,2010,Michael Westmore
1984,Music (Original Score),nominated,Indiana Jones and the Temple of Doom ,John Williams
1984,Music (Original Score),nominated,The Natural ,Randy Newman
1984,Music (Original Score),won,A Passage to India ,Maurice Jarre
1984,Music (Original Score),nominated,The River ,John Williams
1984,Music (Original Score),nominated,Under the Volcano ,Alex North
1984,Music (Original Song Score),nominated,The Muppets Take Manhattan ,Jeff Moss
1984,Music (Original Song Score),won,Purple Rain ,Prince
1984,Music (Original Song Score),nominated,Songwriter ,Kris Kristofferson
1984,Music (Original Song),nominated,"""Against All Odds (Take A Look At Me Now)"" from Against All Odds",Music and Lyric by Phil Collins
1984,Music (Original Song),nominated,"""Footloose"" from Footloose",Music and Lyric by Kenny Loggins and Dean Pitchford
1984,Music (Original Song),nominated,"""Ghostbusters"" from Ghostbusters","Music and Lyric by Ray Parker, Jr."
1984,Music (Original Song),won,"""I Just Called To Say I Love You"" from The Woman in Red",Music and Lyric by Stevie Wonder
1984,Music (Original Song),nominated,"""Let's Hear It For The Boy"" from Footloose",Music and Lyric by Tom Snow and Dean Pitchford
1984,Best Picture,won,Amadeus ,"Saul Zaentz, Producer"
1984,Best Picture,nominated,The Killing Fields ,"David Puttnam, Producer"
1984,Best Picture,nominated,A Passage to India ,"John Brabourne and Richard Goodwin, Producers"
1984,Best Picture,nominated,Places in the Heart ,"Arlene Donovan, Producer"
1984,Best Picture,nominated,A Soldier's Story ,"Norman Jewison, Ronald L. Schwary and Patrick Palmer, Producers"
1984,Short Film (Animated),won,Charade ,"Jon Minnis, Producer"
1984,Short Film (Animated),nominated,Doctor De Soto ,"Morton Schindel and Michael Sporn, Producers"
1984,Short Film (Animated),nominated,Paradise ,"Ishu Patel, Producer"
1984,Short Film (Live Action),nominated,The Painted Door ,"Michael MacMillan and Janice L. Platt, Producers"
1984,Short Film (Live Action),nominated,Tales of Meeting and Parting ,"Sharon Oreck and Lesli Linka Glatter, Producers"
1984,Short Film (Live Action),won,Up ,"Mike Hoover, Producer"
1984,Sound,won,Amadeus ,"Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman"
1984,Sound,nominated,Dune ,"Bill Varney, Steve Maslow, Kevin O'Connell, Nelson Stoll"
1984,Sound,nominated,A Passage to India ,"Graham V. Hartstone, Nicolas Le Messurier, Michael A. Carter, John Mitchell"
1984,Sound,nominated,The River ,"Nick Alphin, Robert Thirlwell, Richard Portman, David Ronne"
1984,Sound,nominated,2010,"Michael J. Kohut, Aaron Rochin, Carlos De Larios, Gene S. Cantamessa"
1984,Visual Effects,nominated,Ghostbusters ,"Richard Edlund, John Bruno, Mark Vargo, Chuck Gaspar"
1984,Visual Effects,won,Indiana Jones and the Temple of Doom ,"Dennis Muren, Michael McAlister, Lorne Peterson, George Gibbs"
1984,Visual Effects,nominated,2010,"Richard Edlund, Neil Krepela, George Jenson, Mark Stetson"
1984,Writing (Screenplay Based on Material from Another Medium),won,Amadeus ,Peter Shaffer
1984,Writing (Screenplay Based on Material from Another Medium),nominated,"Greystoke: The Legend of Tarzan, Lord of the Apes ","P.H. Vazak, Michael Austin"
1984,Writing (Screenplay Based on Material from Another Medium),nominated,The Killing Fields ,Bruce Robinson
1984,Writing (Screenplay Based on Material from Another Medium),nominated,A Passage to India ,David Lean
1984,Writing (Screenplay Based on Material from Another Medium),nominated,A Soldier's Story ,Charles Fuller
1984,Writing (Screenplay Written Directly for the Screen),nominated,Beverly Hills Cop ,"Screenplay by Daniel Petrie, Jr.; Story by Danilo Bach, Daniel Petrie, Jr."
1984,Writing (Screenplay Written Directly for the Screen),nominated,Broadway Danny Rose ,Woody Allen
1984,Writing (Screenplay Written Directly for the Screen),nominated,El Norte ,"Gregory Nava, Anna Thomas"
1984,Writing (Screenplay Written Directly for the Screen),won,Places in the Heart ,Robert Benton
1984,Writing (Screenplay Written Directly for the Screen),nominated,Splash ,"Screenplay by Lowell Ganz, Babaloo Mandel, Bruce Jay Friedman; Screen Story by Bruce Jay Friedman; Based on a Story by Brian Grazer"
1984,Special Achievement Award (Sound Effects Editing),won,The River ,Kay Rose
1984,Jean Hersholt Humanitarian Award,won,David L. Wolper,
1984,Honorary Award,won,James Stewart,
1984,Honorary Award,won,The National Endowment for the Arts,
1984,Gordon E. Sawyer Award,won,Linwood G. Dunn,
1985,Actor in a Leading Role,nominated,Harrison Ford,Witness
1985,Actor in a Leading Role,nominated,James Garner,Murphy's Romance
1985,Actor in a Leading Role,won,William Hurt,Kiss of the Spider Woman
1985,Actor in a Leading Role,nominated,Jack Nicholson,Prizzi's Honor
1985,Actor in a Leading Role,nominated,Jon Voight,Runaway Train
1985,Actor in a Supporting Role,won,Don Ameche,Cocoon
1985,Actor in a Supporting Role,nominated,Klaus Maria Brandauer,Out of Africa
1985,Actor in a Supporting Role,nominated,William Hickey,Prizzi's Honor
1985,Actor in a Supporting Role,nominated,Robert Loggia,Jagged Edge
1985,Actor in a Supporting Role,nominated,Eric Roberts,Runaway Train
1985,Actress in a Leading Role,nominated,Anne Bancroft,Agnes of God
1985,Actress in a Leading Role,nominated,Whoopi Goldberg,The Color Purple
1985,Actress in a Leading Role,nominated,Jessica Lange,Sweet Dreams
1985,Actress in a Leading Role,won,Geraldine Page,The Trip to Bountiful
1985,Actress in a Leading Role,nominated,Meryl Streep,Out of Africa
1985,Actress in a Supporting Role,nominated,Margaret Avery,The Color Purple
1985,Actress in a Supporting Role,won,Anjelica Huston,Prizzi's Honor
1985,Actress in a Supporting Role,nominated,Amy Madigan,Twice in a Lifetime
1985,Actress in a Supporting Role,nominated,Meg Tilly,Agnes of God
1985,Actress in a Supporting Role,nominated,Oprah Winfrey,The Color Purple
1985,Art Direction,nominated,Brazil ,Art Direction: Norman Garwood; Set Decoration: Maggie Gray
1985,Art Direction,nominated,The Color Purple ,"Art Direction: J. Michael Riva, Robert W. Welch; Set Decoration: Linda DeScenna"
1985,Art Direction,won,Out of Africa ,Art Direction: Stephen Grimes; Set Decoration: Josie MacAvin
1985,Art Direction,nominated,Ran ,"Art Direction: Yoshiro Muraki, Shinobu Muraki"
1985,Art Direction,nominated,Witness ,Art Direction: Stan Jolley; Set Decoration: John Anderson
1985,Cinematography,nominated,The Color Purple ,Allen Daviau
1985,Cinematography,nominated,Murphy's Romance ,William A. Fraker
1985,Cinematography,won,Out of Africa ,David Watkin
1985,Cinematography,nominated,Ran ,"Takao Saito, Masaharu Ueda, Asakazu Nakai"
1985,Cinematography,nominated,Witness ,John Seale
1985,Costume Design,nominated,The Color Purple ,Aggie Guerard Rodgers
1985,Costume Design,nominated,The Journey of Natty Gann ,Albert Wolsky
1985,Costume Design,nominated,Out of Africa ,Milena Canonero
1985,Costume Design,nominated,Prizzi's Honor ,Donfeld
1985,Costume Design,won,Ran ,Emi Wada
1985,Directing,nominated,Kiss of the Spider Woman ,Hector Babenco
1985,Directing,won,Out of Africa ,Sydney Pollack
1985,Directing,nominated,Prizzi's Honor ,John Huston
1985,Directing,nominated,Ran ,Akira Kurosawa
1985,Directing,nominated,Witness ,Peter Weir
1985,Documentary (Feature),won,Broken Rainbow ,"Maria Florio and Victoria Mudd, Producers"
1985,Documentary (Feature),nominated,Las Madres--The Mothers of Plaza de Mayo ,"Susana Muñoz and Lourdes Portillo, Producers"
1985,Documentary (Feature),nominated,Soldiers in Hiding ,"Japhet Asher, Producer"
1985,Documentary (Feature),nominated,The Statue of Liberty ,"Ken Burns and Buddy Squires, Producers"
1985,Documentary (Feature),nominated,Unfinished Business ,"Steven Okazaki, Producer"
1985,Documentary (Short Subject),nominated,The Courage to Care ,"Robert Gardner, Producer"
1985,Documentary (Short Subject),nominated,Keats and His Nightingale: A Blind Date ,"Michael Crowley and James Wolpaw, Producers"
1985,Documentary (Short Subject),nominated,Making Overtures--The Story of a Community Orchestra ,"Barbara Willis Sweete, Producer"
1985,Documentary (Short Subject),won,Witness to War: Dr. Charlie Clements ,"David Goodman, Producer"
1985,Documentary (Short Subject),nominated,The Wizard of the Strings ,"Alan Edelstein, Producer"
1985,Film Editing,nominated,A Chorus Line ,John Bloom
1985,Film Editing,nominated,Out of Africa ,"Fredric Steinkamp, William Steinkamp, Pembroke Herring, Sheldon Kahn"
1985,Film Editing,nominated,Prizzi's Honor ,"Rudi Fehr, Kaja Fehr"
1985,Film Editing,nominated,Runaway Train ,Henry Richardson
1985,Film Editing,won,Witness ,Thom Noble
1985,Foreign Language Film,nominated,Angry Harvest ,Federal Republic of Germany
1985,Foreign Language Film,nominated,Colonel Redl ,Hungary
1985,Foreign Language Film,won,The Official Story ,Argentina
1985,Foreign Language Film,nominated,Three Men and a Cradle ,France
1985,Foreign Language Film,nominated,When Father Was Away on Business ,Yugoslavia
1985,Makeup,nominated,The Color Purple ,Ken Chase
1985,Makeup,won,Mask ,"Michael Westmore, Zoltan Elek"
1985,Makeup,nominated,Remo Williams: The Adventure Begins ,Carl Fullerton
1985,Music (Original Score),nominated,Agnes of God ,Georges Delerue
1985,Music (Original Score),nominated,The Color Purple ,"Quincy Jones, Jeremy Lubbock, Rod Temperton, Caiphus Semenya, Andrae Crouch, Chris Boardman, Jorge Calandrelli, Joel Rosenbaum, Fred Steiner, Jack Hayes, Jerry Hey, Randy Kerber"
1985,Music (Original Score),won,Out of Africa ,John Barry
1985,Music (Original Score),nominated,Silverado ,Bruce Broughton
1985,Music (Original Score),nominated,Witness ,Maurice Jarre
1985,Music (Original Song),nominated,"""Miss Celie's Blues (Sister)"" from The Color Purple","Music by Quincy Jones and Rod Temperton; Lyric by Quincy Jones, Rod Temperton and Lionel Richie"
1985,Music (Original Song),nominated,"""The Power Of Love"" from Back to the Future",Music by Chris Hayes and Johnny Colla; Lyric by Huey Lewis
