Role	name	year	nominations	rating	duration	genre1	genre2	release	metacritic	synopsis
Actor	 Separate Tables	1958	7	7.6	100	Drama	Romance	February		"The stories of several people are told as they stay at a seaside hotel in Bournemouth which features dining at ""Separate Tables."""
Actor	 The Bridge on the River Kwai	1957	8	8.2	161	Adventure	Drama	October		After settling his differences with a Japanese PoW camp commander a British colonel co-operates to oversee his mens construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.
Actor	 The King and I (Rodgers and Hammerstein's The King and I)	1956	9	7.5	133	Biography	Drama	June		A widow accepts a job as a live-in governess to the King of Siams children.
Actor	 Marty	1955	8	7.7	90	Drama	Romance	June		A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall in love.
Actor	 On the Waterfront	1954	12	8.3	108	Crime	Drama	June	88	An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
Actor	 Stalag 17	1953	3	8.1	120	Comedy	Drama	August		When two escaping American World War II prisoners are killed the German POW camp barracks black marketeer J.J. Sefton is suspected of being an informer.
Actor	 High Noon	1952	7	8.1	85	Action	Drama	July	89	A marshall personally compelled to face a returning deadly enemy finds that his own town refuses to help him.
Actor	 The African Queen	1951	4	7.9	105	Adventure	Drama	February		In Africa during WWI a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.
Actor	 Cyrano de Bergerac	1950	 	7.6	112	Drama	Romance	November		The charismatic swordsman-poet helps another woo the woman he loves in this straightforward version of the play.
Actor	 All the King's Men	1949	7	7.6	110	Drama		January		The rise and fall of a corrupt politician who makes his friends richer and retains power by dint of a populist appeal.
Actor	 Hamlet	1948	7	7.9	155	Drama		August		Prince Hamlet struggles over whether or not he should kill his uncle whom he suspects has murdered his father the former king.
Actor	 A Double Life	1947	4	7.1	104	Crime	Drama			Anthony John is an actor whose life is strongly influenced by the characters he plays. When hes playing comedy hes the most enjoyable person in the world but when hes playing drama ...                See full summary »
Actor	 The Best Years of Our Lives	1946	8	8.2	172	Drama	Romance	June		Three WWII veterans return home to small-town America to discover that they and their families have been irreparably changed.
Actor	 The Lost Weekend	1945	7	8	101	Drama	Film-Noir	November		The desperate life of a chronic alcoholic is followed through a four day drinking bout.
